19790210	825
19790410	1172
19790610	1148
19790810	1308
19791010	1267
19791210	1549
19800210	799
19800410	1629
19800610	1512
19800810	1747
19801010	2434
19801210	1486
19810210	1982
19810410	2361
19810610	2614
19810810	1865
19811010	1802
19811210	2130
19820210	2153
19820410	1445
19820610	3057
19820810	2768
19821010	1863
19821210	2797
19830210	2127
19830410	1930
19830610	2950
19830810	2076
19831010	1900
19831210	1704
19840210	3406
19840410	2418
19840610	1941
19840810	2168
19841010	2821
19841210	2474
19850210	2141
19850410	2451
19850610	2710
19850810	2389
19851010	3454
19851210	3241
19860210	2274
19860410	3092
19860610	2784
19860810	2399
19861010	3661
19861210	3878
19870210	3424
19870410	3085
19870610	3407
19870810	3132
19871010	2590
19871210	3382
19880210	3545
19880410	2644
19880610	3899
19880810	3707
19881010	3098
19881210	2322
19890210	3804
19890410	2972
19890610	2235
19890810	2513
19891010	3302
19891210	1779
19900210	2401
19900410	2763
19900610	2045
19900810	4146
19901010	3022
19901210	2927
19910210	3498
19910410	4073
19910610	4177
19910810	3521
19911010	5162
19911210	5039
19920210	2200
19920410	3809
19920610	3646
19920810	2911
19921010	1779
19921210	4874
19930210	4035
19930410	2655
19930610	4529
19930810	4077
19931010	3261
19931210	3838
19940210	6257
19940410	3676
19940610	5026
19940810	5649
19941010	6649
19941210	3943
19950210	5334
19950410	6834
19950610	3745
19950810	6693
19951010	3677
19951210	2121
19960210	4244
19960410	7052
19960610	5336
19960810	6643
19961010	11838
19961210	12425
19970210	7438
19970410	12865
19970610	11892
19970810	5647
19971010	11276
19971210	12820
19980210	15928
19980410	11019
19980610	13093
19980810	9655
19981010	8723
19981210	15355
19990210	14454
19990410	10843
19990610	16611
19990810	13879
19991010	8282
19991210	14535
20000210	15501
20000410	15045
20000610	10895
20000810	14388
20001010	16964
20001210	10153
20010210	8948
20010410	16225
20010610	8308
20010810	13736
20011010	18238
20011210	14881
20020210	9420
20020410	12874
20020610	10779
20020810	8021
20021010	12186
20021210	17910
20030210	19981
20030410	22791
20030610	18121
20030810	10150
20031010	15507
20031210	17058
20040210	17429
20040410	9481
20040610	17962
20040810	11173
20041010	8212
20041210	11295
20050210	12354
20050410	7263
20050610	10278
20050810	10097
20051010	10674
20051210	6855
20060210	12024
20060410	11041
20060610	5981
20060810	25622
20061010	13619
20061210	14648
20070210	15385
20070410	39599
20070610	24756
20070810	31631
20071010	40524
20071210	44736
20080210	37206
20080410	54022
20080610	50845
20080810	5774
20081010	44012
20081210	47083
20090210	79463
20090410	61853
20090610	72053
20090810	80426
20091010	56641
20091210	86918
20100210	87832
20100410	20628
20100610	35075
20100810	107054
20101010	60741
20101210	110265
20110210	98081
20110410	68287
20110610	109343
20110810	105864
20111010	45887
20111210	54687
20120210	119329
20120410	122460
20120610	70585
20120810	66584
20121010	98884
20121210	100521
20130210	61024
20130410	42301
20130610	35882
19790227	1247
19790427	2080
19790627	1217
19790827	962
19791027	1197
19791227	1156
19800227	1523
19800427	712
19800627	2229
19800827	1482
19801027	2007
19801227	1395
19810227	2122
19810427	2002
19810627	1753
19810827	2395
19811027	2493
19811227	1244
19820227	1881
19820427	2035
19820627	1475
19820827	2460
19821027	2032
19821227	1916
19830227	1531
19830427	2227
19830627	2122
19830827	1937
19831027	3400
19831227	2091
19840227	2352
19840427	3321
19840627	2997
19840827	1985
19841027	2372
19841227	1983
19850227	3194
19850427	2465
19850627	3767
19850827	2471
19851027	2676
19851227	2811
19860227	3204
19860427	2310
19860627	2959
19860827	3624
19861027	3674
19861227	2083
19870227	3725
19870427	3117
19870627	2131
19870827	2851
19871027	2752
19871227	2354
19880227	2865
19880427	3954
19880627	3786
19880827	2799
19881027	3391
19881227	2791
19890227	3526
19890427	3129
19890627	2747
19890827	2560
19891027	3155
19891227	2832
19900227	3299
19900427	3272
19900627	2666
19900827	3847
19901027	2815
19901227	2373
19910227	4610
19910427	2757
19910627	4354
19910827	4697
19911027	3386
19911227	3761
19920227	3544
19920427	4103
19920627	2978
19920827	3150
19921027	2482
19921227	2247
19930227	1869
19930427	3078
19930627	4002
19930827	3305
19931027	3439
19931227	2873
19940227	3806
19940427	5131
19940627	3709
19940827	3389
19941027	7651
19941227	4239
19950227	6187
19950427	5079
19950627	5877
19950827	3067
19951027	2591
19951227	3757
19960227	7474
19960427	4537
19960627	9153
19960827	10309
19961027	6341
19961227	7604
19970227	11159
19970427	6466
19970627	11074
19970827	10382
19971027	11882
19971227	5273
19980227	12762
19980427	12717
19980627	6327
19980827	11700
19981027	15984
19981227	7029
19990227	9393
19990427	15466
19990627	8053
19990827	12086
19991027	16830
19991227	10311
20000227	7498
20000427	14717
20000627	14006
20000827	9280
20001027	12930
20001227	9412
20010227	17259
20010427	15350
20010627	16619
20010827	15349
20011027	9830
20011227	13008
20020227	18351
20020427	7963
20020627	11481
20020827	15419
20021027	7281
20021227	12836
20030227	17954
20030427	9811
20030627	14099
20030827	16500
20031027	14850
20031227	7992
20040227	15578
20040427	17941
20040627	9875
20040827	10175
20041027	12646
20041227	9132
20050227	7654
20050427	11762
20050627	10647
20050827	5914
20051027	11856
20051227	7255
20060227	13594
20060427	13255
20060627	24031
20060827	14952
20061027	28696
20061227	16700
20070227	29386
