\N	2
2000	4540506
2013	12959261
1983	848806
1993	1310741
1994	1774666
1997	3652082
2005	3534874
2009	23464598
1988	1183220
1990	1126957
1995	1780524
1996	2793232
2012	34359675
1981	678457
1991	1471086
1998	4267872
1999	4754487
2003	5527322
2010	22502301
1989	1077466
2004	4643248
2008	14331021
1980	561445
2007	11243098
2011	31501556
2006	6345731
1985	987942
1992	1097338
1986	1077047
2002	4415923
2001	4995943
1987	1091590
1984	873229
1982	764325
1979	430941
